Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/5/2006,1310.609985,1326.699951,1245.339966,1270.089966,1270.089966,54312830000,17.0505,-10.2%,1.2%,5.1%,,,,,,,1/4/1934,22.2553
1/6/2006,1270.050049,1290.680054,1219.290039,1270.199951,1270.199951,54873260000,17.052,-10.2%,0.8%,5.2%,,,,,,,1/5/1934,20.4468
1/7/2006,1270.060059,1280.420044,1224.540039,1276.660034,1276.660034,46348220000,16.2487,-8.2%,0.2%,5.5%,,,,,,,1/6/1934,20.8723
1/8/2006,1278.530029,1306.73999,1261.300049,1303.819946,1303.819946,50485620000,16.5944,-7.8%,-1.3%,5.2%,,,,,,,1/7/1934,18.0833
1/9/2006,1303.800049,1340.280029,1290.930054,1335.849976,1335.849976,49001440000,17.002,-7.5%,-3.3%,5.0%,,,,,,,1/8/1934,19.0625
1/10/2006,1335.819946,1389.449951,1327.099976,1377.939941,1377.939941,56793620000,16.9052,-9.1%,-1.9%,4.4%,,,,,,,1/9/1934,18.9583
1/11/2006,1377.76001,1407.890015,1360.97998,1400.630005,1400.630005,55343930000,17.1835,-7.9%,-2.3%,4.6%,,,,,,,1/10/1934,17.9796
1/12/2006,1400.630005,1431.810059,1385.930054,1418.300049,1418.300049,47578780000,17.4003,-7.7%,-2.4%,4.7%,,,,,,,1/11/1934,19.4694
1/1/2007,1418.030029,1441.609985,1403.969971,1438.23999,1438.23999,56686200000,17.2969,-9.3%,-1.8%,4.7%,,,,,,,1/12/1934,19.3878
1/2/2007,1437.900024,1461.569946,1389.420044,1406.819946,1406.819946,51844990000,16.9191,-7.7%,-0.6%,5.3%,,,,,,,1/1/1935,12.4658
1/3/2007,1406.800049,1438.890015,1363.97998,1420.859985,1420.859985,67622250000,17.0879,-6.3%,-0.2%,5.2%,,,,,,,1/2/1935,11.9726
1/4/2007,1420.829956,1498.02002,1416.369995,1482.369995,1482.369995,57032470000,17.4561,-7.1%,-1.2%,4.9%,,,,,,,1/3/1935,11.6027
1/5/2007,1482.369995,1535.560059,1476.699951,1530.619995,1530.619995,64958050000,18.0243,-10.7%,-3.1%,4.7%,,,,,,,1/4/1935,11.4568
1/6/2007,1530.619995,1540.560059,1484.180054,1503.349976,1503.349976,65322800000,17.7031,-11.8%,-2.0%,4.9%,,,,,,,1/5/1935,11.8272
1/7/2007,1504.660034,1555.900024,1454.25,1455.27002,1455.27002,70337430000,18.5149,-8.9%,-1.1%,5.4%,,,,,,,1/6/1935,12.6296
1/8/2007,1455.180054,1503.890015,1370.599976,1473.98999,1473.98999,91381760000,18.7531,-10.7%,-0.9%,5.3%,,,,,,,1/7/1935,14.5789
1/9/2007,1473.959961,1538.73999,1439.290039,1526.75,1526.75,57809700000,19.4243,-9.2%,-1.2%,5.1%,,,,,,,1/8/1935,14.8947
1/10/2007,1527.290039,1576.089966,1489.560059,1549.380005,1549.380005,76022580000,23.4116,-8.6%,-1.8%,5.2%,,,,,,,1/9/1935,15.25
1/11/2007,1545.790039,1545.790039,1406.099976,1481.140015,1481.140015,86246950000,22.3805,-7.3%,-0.9%,6.0%,,,,,,,1/10/1935,16.3947
1/12/2007,1479.630005,1523.569946,1435.650024,1468.359985,1468.359985,64821670000,22.1874,-5.0%,-0.6%,6.2%,,,,,,,1/11/1935,17.0395
1/1/2008,1467.969971,1471.77002,1270.050049,1378.550049,1378.550049,98475340000,22.8275,-2.3%,1.7%,7.4%,,,,,,,1/12/1935,17.6711
1/2/2008,1378.599976,1396.02002,1316.75,1330.630005,1330.630005,78536130000,22.0339,-0.1%,2.6%,7.4%,,,,,,,1/1/1936,18.1139
1/3/2008,1330.449951,1359.680054,1256.97998,1322.699951,1322.699951,93189170000,21.9026,0.1%,3.5%,7.2%,,,,,,,1/2/1936,18.4177
1/4/2008,1326.410034,1404.569946,1324.349976,1385.589966,1385.589966,85978630000,26.9727,-0.5%,2.9%,6.7%,,,,,,,1/3/1936,18.8861
1/5/2008,1385.969971,1440.23999,1373.069946,1400.380005,1400.380005,80990480000,27.2607,-1.3%,3.1%,6.8%,,,,,,,1/4/1936,15.6477
1/6/2008,1399.619995,1404.050049,1272,1280,1280,96614040000,24.9173,1.0%,4.6%,7.8%,,,,,,,1/5/1936,16.3636
1/7/2008,1276.689941,1292.170044,1200.439941,1267.380005,1267.380005,1.24981E+11,27.5817,0.7%,5.9%,8.3%,,,,,,,1/6/1936,16.8636
1/8/2008,1269.420044,1313.150024,1247.449951,1282.829956,1282.829956,86266010000,27.918,-1.7%,4.9%,8.5%,,,,,,,1/7/1936,16.8617
1/9/2008,1287.829956,1303.040039,1106.420044,1166.359985,1166.359985,1.40007E+11,25.3832,-1.0%,7.6%,9.6%,,,,,,,1/8/1936,17.0106
1/10/2008,1164.170044,1167.030029,839.7999878,968.75,968.75,1.59823E+11,65.1042,9.0%,12.6%,10.8%,,,,,,,1/9/1936,17.0319
1/11/2008,968.6699829,1007.51001,741.0200195,896.2399902,896.2399902,1.1566E+11,60.2312,11.6%,15.0%,11.9%,,,,,,,1/10/1936,16.8725
1/12/2008,888.6099854,918.8499756,815.6900024,903.25,903.25,1.12884E+11,60.7023,11.7%,15.4%,10.7%,,,,,,,1/11/1936,16.9412
1/1/2009,902.9899902,943.8499756,804.2999878,825.8800049,825.8800049,1.12091E+11,120.3907,16.7%,16.6%,12.6%,,,,,,,1/12/1936,16.8431
1/2/2009,823.0900269,875.0100098,734.5200195,735.0900269,735.0900269,1.24492E+11,107.156,22.9%,20.4%,14.2%,,,,,,,1/1/1937,16.0631
1/3/2009,729.5700073,832.9799805,666.789978,797.8699951,797.8699951,1.61844E+11,116.3076,20.9%,18.6%,13.5%,,,,,,,1/2/1937,16.2973
1/4/2009,793.5900269,888.7000122,783.3200073,872.8099976,872.8099976,1.38855E+11,116.2197,17.0%,16.6%,12.9%,,,,,,,1/3/1937,16.1441
1/5/2009,872.7399902,930.1699829,866.0999756,919.1400146,919.1400146,1.31615E+11,122.3888,12.5%,15.9%,11.6%,,,,,,,1/4/1937,14.0427
1/6/2009,923.2600098,956.2299805,888.8599854,919.3200073,919.3200073,1.12653E+11,122.4128,14.0%,16.4%,12.3%,,,,,,,1/5/1937,13.8974
1/7/2009,920.8200073,996.6799927,869.3200073,987.4799805,987.4799805,1.06636E+11,78.7464,11.8%,14.3%,11.7%,,,,,,,1/6/1937,13.1624
1/8/2009,990.2199707,1039.469971,978.5100098,1020.619995,1020.619995,1.16059E+11,81.3892,11.3%,14.4%,11.1%,,,,,,,1/7/1937,13.918
1/9/2009,1019.52002,1080.150024,991.9699707,1057.079956,1057.079956,1.12295E+11,84.2967,10.9%,13.3%,10.9%,,,,,,,1/8/1937,13.1475
1/10/2009,1054.910034,1101.359985,1019.950012,1036.189941,1036.189941,1.13411E+11,20.3294,10.9%,14.3%,11.4%,,,,,,,1/9/1937,11.2787
1/11/2009,1036.180054,1113.689941,1029.380005,1095.630005,1095.630005,84981530000,21.4956,8.9%,13.5%,11.1%,,,,,,,1/10/1937,10.9381
1/12/2009,1098.890015,1130.380005,1085.890015,1115.099976,1115.099976,89515330000,21.8776,8.5%,13.0%,11.2%,,,,,,,1/11/1937,9.8319
1/1/2010,1116.560059,1150.449951,1071.589966,1073.869995,1073.869995,90947580000,17.6247,11.7%,13.2%,11.6%,,,,,,,1/12/1937,9.3363
1/2/2010,1073.890015,1112.420044,1044.5,1104.48999,1104.48999,84561340000,18.1272,11.1%,13.8%,10.3%,,,,,,,1/1/1938,11.0206
1/3/2010,1105.359985,1180.689941,1105.359985,1169.430054,1169.430054,1.03684E+11,19.193,10.3%,12.1%,8.3%,,,,,,,1/2/1938,11.6907
1/4/2010,1171.22998,1219.800049,1170.689941,1186.689941,1186.689941,1.16742E+11,17.6854,10.4%,11.9%,9.4%,,,,,,,1/3/1938,8.7629
1/5/2010,1188.579956,1205.130005,1040.780029,1089.410034,1089.410034,1.27663E+11,16.2356,14.4%,14.1%,10.8%,,,,,,,1/4/1938,12.5974
1/6/2010,1087.300049,1131.22998,1028.329956,1030.709961,1030.709961,1.10107E+11,15.3608,15.9%,14.9%,11.6%,,,,,,,1/5/1938,12.039
1/7/2010,1031.099976,1120.949951,1010.909973,1101.599976,1101.599976,94778110000,15.3298,15.2%,13.8%,11.5%,,,,,,,1/6/1938,15.013
