Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
31/3/2005,13515.37988,13556.13965,13482.49023,13516.87988,13516.87988,427842000,0.68%,-1.88%,-2.17%,-3.87%,,,,,,,,,,,
1/4/2005,13495.66016,13518.62988,13397.59961,13491.34961,13491.34961,323861600,-0.19%,-0.83%,-2.47%,-2.60%,,,,,,,,,,,
4/4/2005,13474.36035,13545.30957,13436.95996,13513.41016,13513.41016,287550800,0.16%,-0.62%,-2.20%,-2.73%,,,,,,,,,,,
6/4/2005,13537.37988,13612.04004,13505.78027,13562.25977,13562.25977,355905600,0.36%,1.12%,-1.92%,-1.23%,,,,,,,,,,,
7/4/2005,13605.41992,13619.87012,13538.40039,13602.34961,13602.34961,264334800,0.30%,1.32%,-1.68%,-1.23%,,,,,,,,,,,
8/4/2005,13670.79004,13686.99023,13636.34961,13666.71973,13666.71973,245676800,0.47%,1.11%,-0.80%,-1.55%,,,,,,,,,,,
11/4/2005,13614.0498,13668,13606.38965,13659.92969,13659.92969,242422400,-0.05%,1.25%,0.41%,-2.02%,,,,,,,,,,,
12/4/2005,13660.65039,13678.63965,13622.70996,13658.0498,13658.0498,165573600,-0.01%,1.07%,0.45%,-1.43%,,,,,,,,,,,
13/4/2005,13695.67969,13808.50977,13665.40039,13799.62012,13799.62012,230154200,1.04%,1.75%,2.89%,-0.66%,,,,,,,,,,,
14/4/2005,13741.16992,13788.67969,13707.66992,13772.40039,13772.40039,323550000,-0.20%,1.25%,2.58%,-0.97%,,,,,,,,,,,
15/4/2005,13672.74023,13672.74023,13579.16016,13638.75,13638.75,299358000,-0.97%,-0.20%,0.90%,-1.29%,,,,,,,,,,,
18/4/2005,13382.01953,13424.66016,13337.44043,13355.23047,13355.23047,502135000,-2.08%,-2.23%,-1.01%,-3.45%,,,,,,,,,,,
