,Date,spy,portfolio,spy_rb,portfolio_rb
424,2006-09-07,95.60414123535156,inf,0.0,100
425,2006-09-08,95.87638092041016,inf,0.0,100
426,2006-09-11,95.9720687866211,inf,0.0,100
427,2006-09-12,96.91407012939453,inf,0.0,100
428,2006-09-13,97.30409240722656,inf,0.0,100
429,2006-09-14,97.31144714355469,inf,0.0,100
430,2006-09-15,97.53983306884766,inf,0.0,100
431,2006-09-18,97.67291259765625,inf,0.0,100
432,2006-09-19,97.42899322509766,inf,0.0,100
433,2006-09-20,97.94640350341797,inf,0.0,100
434,2006-09-21,97.47332000732422,inf,0.0,100
435,2006-09-22,97.1776351928711,inf,0.0,100
436,2006-09-25,97.9242172241211,inf,0.0,100
437,2006-09-26,98.7372817993164,inf,0.0,100
438,2006-09-27,98.8555679321289,inf,0.0,100
439,2006-09-28,98.818603515625,inf,0.0,100
440,2006-09-29,98.7372817993164,inf,0.0,100
441,2006-10-02,98.36766815185547,inf,0.0,100
442,2006-10-03,98.57469940185547,inf,0.0,100
443,2006-10-04,99.72776794433594,inf,0.0,100
444,2006-10-05,99.91992950439453,inf,0.0,100
445,2006-10-06,99.7942886352539,inf,0.0,100
446,2006-10-09,99.85342407226562,inf,0.0,100
447,2006-10-10,99.9864730834961,inf,0.0,100
448,2006-10-11,99.86821746826172,inf,0.0,100
449,2006-10-12,100.73302459716797,inf,0.0,100
450,2006-10-13,100.99171447753906,inf,0.0,100
451,2006-10-16,101.14692687988281,inf,0.0,100
452,2006-10-17,100.82914733886719,inf,0.0,100
453,2006-10-18,100.96216583251953,inf,0.0,100
454,2006-10-19,101.1247787475586,inf,0.0,100
455,2006-10-20,101.14692687988281,inf,0.0,100
456,2006-10-23,101.61264038085938,inf,0.0,100
457,2006-10-24,101.91571044921875,inf,0.0,100
458,2006-10-25,102.2630844116211,inf,0.0,100
459,2006-10-26,102.58094024658203,inf,0.0,100
460,2006-10-27,101.93788146972656,inf,0.0,100
461,2006-10-30,101.86397552490234,inf,0.0,100
462,2006-10-31,101.84915924072266,inf,0.0,100
463,2006-11-01,101.16172790527344,inf,0.0,100
464,2006-11-02,101.10259246826172,inf,0.0,100
465,2006-11-03,100.92520141601562,inf,0.0,100
466,2006-11-06,102.06351470947266,inf,0.0,100
467,2006-11-07,102.45526123046875,inf,0.0,100
468,2006-11-08,102.67704010009766,inf,0.0,100
469,2006-11-09,102.137451171875,inf,0.0,100
470,2006-11-10,102.1817855834961,inf,0.0,100
471,2006-11-13,102.43309020996094,inf,0.0,100
472,2006-11-14,103.20182800292969,inf,0.0,100
473,2006-11-15,103.49752044677734,inf,0.0,100
474,2006-11-16,103.76359558105469,inf,0.0,100
475,2006-11-17,103.79315948486328,inf,0.0,100
476,2006-11-20,103.85227966308594,inf,0.0,100
477,2006-11-21,103.95576477050781,inf,0.0,100
478,2006-11-22,104.16275787353516,inf,0.0,100
479,2006-11-24,103.7414321899414,inf,0.0,100
480,2006-11-27,102.3148193359375,inf,0.0,100
481,2006-11-28,102.75830078125,inf,0.0,100
482,2006-11-29,103.83011627197266,inf,0.0,100
483,2006-11-30,103.87446594238281,inf,0.0,100
484,2006-12-01,103.64533233642578,inf,0.0,100
485,2006-12-04,104.43622589111328,inf,0.0,100
486,2006-12-05,104.88712310791016,inf,0.0,100
487,2006-12-06,104.79839324951172,inf,0.0,100
488,2006-12-07,104.34011840820312,inf,0.0,100
489,2006-12-08,104.53226470947266,inf,0.0,100
490,2006-12-11,104.83535766601562,inf,0.0,100
491,2006-12-12,104.75406646728516,inf,0.0,100
492,2006-12-13,104.86488342285156,inf,0.0,100
493,2006-12-14,105.78890228271484,inf,0.0,100
494,2006-12-15,105.79851531982422,inf,0.0,100
495,2006-12-18,105.50871276855469,inf,0.0,100
496,2006-12-19,105.70936584472656,inf,0.0,100
497,2006-12-20,105.6499252319336,inf,0.0,100
498,2006-12-21,105.26344299316406,inf,0.0,100
499,2006-12-22,104.61671447753906,inf,0.0,100
500,2006-12-26,105.23365020751953,inf,0.0,100
501,2006-12-27,105.92488861083984,inf,0.0,100
502,2006-12-28,105.70196533203125,inf,0.0,100
503,2006-12-29,105.26344299316406,inf,0.0,100
504,2007-01-03,105.07756805419922,inf,0.0,100
505,2007-01-04,105.30052947998047,inf,0.0,100
506,2007-01-05,104.46065521240234,inf,0.0,100
507,2007-01-08,104.94380187988281,inf,0.0,100
508,2007-01-09,104.85456085205078,inf,0.0,100
509,2007-01-10,105.20392608642578,inf,0.0,100
510,2007-01-11,105.66474914550781,inf,0.0,100
511,2007-01-12,106.46753692626953,inf,0.0,100
512,2007-01-16,106.25938415527344,inf,0.0,100
513,2007-01-17,106.30398559570312,inf,0.0,100
514,2007-01-18,105.94720458984375,inf,0.0,100
515,2007-01-19,106.15534973144531,inf,0.0,100
516,2007-01-22,105.82829284667969,inf,0.0,100
517,2007-01-23,106.14046478271484,inf,0.0,100
518,2007-01-24,106.99524688720703,inf,0.0,100
519,2007-01-25,105.73912048339844,inf,0.0,100
520,2007-01-26,105.6424789428711,inf,0.0,100
521,2007-01-29,105.58302307128906,inf,0.0,100
522,2007-01-30,106.13304901123047,inf,0.0,100
523,2007-01-31,106.84659576416016,inf,0.0,100
524,2007-02-01,107.48582458496094,inf,0.0,100
525,2007-02-02,107.63443756103516,inf,0.0,100
526,2007-02-05,107.6642074584961,inf,0.0,100
527,2007-02-06,107.6939468383789,inf,0.0,100
528,2007-02-07,107.93183898925781,inf,0.0,100
529,2007-02-08,107.7905502319336,inf,0.0,100
530,2007-02-09,106.98778533935547,inf,0.0,100
531,2007-02-12,106.62359619140625,inf,0.0,100
532,2007-02-13,107.52296447753906,inf,0.0,100
533,2007-02-14,108.22908782958984,inf,0.0,100
